start_time, end_time, class, beam, duration_minutes
2022-02-02 07:37:30, 2022-02-02 08:22:30, 1, 2, 45.0
2022-02-02 08:47:30, 2022-02-02 09:02:30, 1, 2, 15.0
2022-02-02 09:07:30, 2022-02-02 09:22:30, 1, 2, 15.0
2022-02-02 09:27:30, 2022-02-02 09:47:30, 1, 2, 20.0
2022-02-02 09:52:30, 2022-02-02 09:57:30, 1, 2, 5.0
2022-02-02 10:02:30, 2022-02-02 10:07:30, 1, 2, 5.0
2022-02-02 10:22:30, 2022-02-02 10:32:30, 1, 2, 10.0
2022-02-02 12:02:30, 2022-02-02 12:07:30, 1, 2, 5.0
2022-02-02 12:17:30, 2022-02-02 12:27:30, 1, 2, 10.0
2022-02-02 12:57:30, 2022-02-02 13:02:30, 1, 2, 5.0
2022-02-02 14:27:30, 2022-02-02 14:37:30, 1, 2, 10.0
2022-02-02 14:42:30, 2022-02-02 14:47:30, 1, 2, 5.0
2022-02-02 15:57:30, 2022-02-02 16:27:30, 1, 2, 30.0
2022-02-02 16:42:30, 2022-02-02 16:57:30, 1, 2, 15.0
2022-02-02 04:47:30, 2022-02-02 04:52:30, 3, 2, 5.0
2022-02-02 05:02:30, 2022-02-02 05:07:30, 3, 2, 5.0
2022-02-02 05:17:30, 2022-02-02 05:27:30, 3, 2, 10.0
2022-02-02 05:32:30, 2022-02-02 05:42:30, 3, 2, 10.0
2022-02-02 05:57:30, 2022-02-02 06:02:30, 3, 2, 5.0
2022-02-02 06:27:30, 2022-02-02 06:32:30, 3, 2, 5.0
2022-02-02 08:37:30, 2022-02-02 08:42:30, 3, 2, 5.0
2022-02-02 10:12:30, 2022-02-02 10:17:30, 3, 2, 5.0
2022-02-02 11:52:30, 2022-02-02 11:57:30, 3, 2, 5.0
2022-02-02 12:27:30, 2022-02-02 12:42:30, 3, 2, 15.0
2022-02-02 13:07:30, 2022-02-02 13:17:30, 3, 2, 10.0
2022-02-02 14:47:30, 2022-02-02 15:02:30, 3, 2, 15.0
2022-02-02 15:32:30, 2022-02-02 15:42:30, 3, 2, 10.0
2022-02-02 15:47:30, 2022-02-02 15:57:30, 3, 2, 10.0
2022-02-02 16:27:30, 2022-02-02 16:42:30, 3, 2, 15.0
2022-02-03 02:32:30, 2022-02-03 02:37:30, 1, 2, 5.0
2022-02-03 02:42:30, 2022-02-03 02:57:30, 1, 2, 15.0
2022-02-03 03:12:30, 2022-02-03 05:42:30, 1, 2, 150.0
2022-02-03 05:47:30, 2022-02-03 06:07:30, 1, 2, 20.0
2022-02-03 06:12:30, 2022-02-03 06:32:30, 1, 2, 20.0
2022-02-03 06:42:30, 2022-02-03 11:47:30, 1, 2, 305.0
2022-02-03 11:52:30, 2022-02-03 12:07:30, 1, 2, 15.0
2022-02-03 12:32:30, 2022-02-03 17:47:30, 1, 2, 315.0
2022-02-03 18:02:30, 2022-02-03 18:37:30, 1, 2, 35.0
2022-02-03 18:57:30, 2022-02-03 20:17:30, 1, 2, 80.0
2022-02-03 20:27:30, 2022-02-03 20:42:30, 1, 2, 15.0
2022-02-03 20:52:30, 2022-02-03 21:02:30, 1, 2, 10.0
2022-02-03 21:12:30, 2022-02-03 21:27:30, 1, 2, 15.0
2022-02-03 21:32:30, 2022-02-03 22:42:30, 1, 2, 70.0
2022-02-03 22:47:30, 2022-02-03 23:47:30, 1, 2, 60.0
2022-02-03 23:57:30, 2022-02-03 23:57:30, 1, 2, 0.0
